Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Quarter,Sales_Lag_1,Sales_Lag_2,Sales_Rolling_Mean_4,Sales_Rolling_Std_4,Season_Price_Factor,Price,Month_sin,Month_cos,Week_sin,Week_cos,Quarter_sin,Quarter_cos,Price_Holiday_Interaction,Price_Unemployment_Interaction,Temperature_Fuel_Interaction,CPI_Unemployment_Interaction,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Holiday_Type_Holiday,Holiday_Type_Non-Holiday
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,1,1409727.59,1611968.17,1510847.88,143005.68554910028,1.0,80.73,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1.0,6.123233995736766e-17,0.0,654.39738,122.0625,1713.2042583474001,0,1,0,0,0,1
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,1,1554806.68,1409727.59,1525500.8133333332,104256.59890624386,1.0,84.31,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,0.0,683.41686,154.12592999999998,1713.4514913474,0,1,0,0,0,1
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,1,1439541.59,1554806.68,1504011.0075,95360.0508389951,1.0,77.61,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,1.0,6.123233995736766e-17,0.0,629.10666,148.4576,1712.11393731,0,1,0,0,0,1
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,1,1472515.79,1439541.59,1469147.9125,62599.45715007428,1.0,77.65,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,0.0,629.4309000000001,140.56140000000002,1710.5122516944,0,1,0,0,0,1
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,2,1404429.92,1472515.79,1467823.495,64308.38101632064,1.0,84.72,0.8660254037844387,-0.4999999999999998,1.0,-1.6081226496766366e-16,1.2246467991473532e-16,-1.0,0.0,661.49376,169.31213,1646.0860728192,0,1,0,0,0,1
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,2,1594968.28,1404429.92,1477863.895,82871.76229599725,1.0,81.71,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,1.2246467991473532e-16,-1.0,0.0,637.99168,182.4322,1644.5432705791998,0,1,0,0,0,1
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,2,1545418.53,1594968.28,1504333.13,83458.04335445473,1.0,76.97,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,1.2246467991473532e-16,-1.0,0.0,600.98176,186.22655999999998,1643.4957696,0,1,0,0,0,1
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,2,1466058.28,1545418.53,1502718.7525,84336.49103572943,1.0,80.91,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,1.2246467991473532e-16,-1.0,0.0,631.74528,181.2278,1643.1086708224,0,1,0,0,0,1
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,2,1391256.12,1466058.28,1499425.3025,89550.29826614383,1.0,76.9,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,1.2246467991473532e-16,-1.0,0.0,600.4352,187.39979999999997,1642.7215720447998,0,1,0,0,0,1
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,2,1425100.71,1391256.12,1456958.41,66432.18202288527,1.0,77.08,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,1.2246467991473532e-16,-1.0,0.0,601.84064,205.67925,1642.3344732671999,0,1,0,0,0,1
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,2,1603955.12,1425100.71,1471592.5575,93391.49007121939,1.0,79.94,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,1.2246467991473532e-16,-1.0,0.0,624.17152,213.42212,1642.3146229887998,0,1,0,0,0,1
